ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,shares_out,avg_d_shares
CSCO,CSCO,CISCO SYSTEMS,7,Q,2015-10-31,Y,5076.08,5113.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2015-07-31,Y,5085.89,5131.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2015-04-30,Y,5085.89,5148.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2015-01-31,Y,5104.74,5160.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2014-10-31,Y,5113.59,5156.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2014-07-31,Y,5122.69,5172.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2014-04-30,Y,5151.28,5180.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2014-01-31,Y,5346.62,5327.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2013-10-31,Y,5384.46,5430.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2013-07-31,Y,5344.34,5437.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2013-04-30,Y,5331.97,5387.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2013-01-31,Y,5309.25,5357.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2012-10-31,Y,5302.45,5334.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2012-07-31,Y,5356.88,5354.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2012-04-30,Y,5385.94,5456.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2012-01-31,Y,5375.86,5401.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2011-10-31,Y,5365.0,5407.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2011-07-31,Y,5500.19,5496.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2011-04-30,Y,5528.0,5537.0
CSCO,CSCO,CISCO SYSTEMS,7,Q,2011-01-31,Y,5542.76,5587.0
CVX,SD,CHEVRON CORP,12,Q,2017-09-30,Y,1895.0,1895.88
CVX,SD,CHEVRON CORP,12,Q,2017-06-30,Y,1894.56,1893.01
CVX,SD,CHEVRON CORP,12,Q,2017-03-31,Y,1894.56,1895.39
CVX,SD,CHEVRON CORP,12,Q,2016-12-31,Y,1887.77,1890.04
CVX,SD,CHEVRON CORP,12,Q,2016-09-30,Y,1886.52,1883.34
CVX,SD,CHEVRON CORP,12,Q,2016-06-30,Y,1884.7,1871.99
CVX,SD,CHEVRON CORP,12,Q,2016-03-31,Y,1884.7,1869.78
CVX,SD,CHEVRON CORP,12,Q,2015-12-31,Y,1882.04,1874.31
CVX,SD,CHEVRON CORP,12,Q,2015-09-30,Y,1880.48,1872.42
CVX,SD,CHEVRON CORP,12,Q,2015-06-30,Y,1880.48,1876.7
CVX,SD,CHEVRON CORP,12,Q,2015-03-31,Y,1880.48,1876.5
CVX,SD,CHEVRON CORP,12,Q,2014-12-31,Y,1890.42,1883.65
CVX,SD,CHEVRON CORP,12,Q,2014-09-30,Y,1898.93,1896.49
CVX,SD,CHEVRON CORP,12,Q,2014-06-30,Y,1903.65,1902.32
CVX,SD,CHEVRON CORP,12,Q,2014-03-31,Y,1909.13,1909.42
CVX,SD,CHEVRON CORP,12,Q,2013-12-31,Y,1923.17,1919.32
CVX,SD,CHEVRON CORP,12,Q,2013-09-30,Y,1932.02,1929.83
CVX,SD,CHEVRON CORP,12,Q,2013-06-30,Y,1938.5,1936.78
CVX,SD,CHEVRON CORP,12,Q,2013-03-31,Y,1942.7,1943.93
CVX,SD,CHEVRON CORP,12,Q,2012-12-31,Y,1957.18,1952.3
CVX,SD,CHEVRON CORP,12,Q,2012-09-30,Y,1962.14,1960.14
CVX,SD,CHEVRON CORP,12,Q,2012-06-30,Y,1972.67,1967.99
CVX,SD,CHEVRON CORP,12,Q,2012-03-31,Y,1976.97,1978.78
CVX,SD,CHEVRON CORP,12,Q,2011-12-31,Y,1991.48,1987.15
CVX,SD,CHEVRON CORP,12,Q,2011-09-30,Y,2002.98,1998.67
CVX,SD,CHEVRON CORP,12,Q,2011-06-30,Y,2010.24,2008.99
CVX,SD,CHEVRON CORP,12,Q,2011-03-31,Y,2007.45,2008.58
DD,DD,DU PONT (EI) DE,12,Q,2017-09-30,N,867.81,
DD,DD,DU PONT (EI) DE,12,Q,2017-06-30,N,867.81,872.75
DD,DD,DU PONT (EI) DE,12,Q,2017-03-31,N,867.03,871.08
DD,DD,DU PONT (EI) DE,12,Q,2016-12-31,N,869.34,872.36
DD,DD,DU PONT (EI) DE,12,Q,2016-09-30,N,869.34,879.39
DD,DD,DU PONT (EI) DE,12,Q,2016-06-30,N,874.33,879.18
DD,DD,DU PONT (EI) DE,12,Q,2016-03-31,N,873.51,877.25
DD,DD,DU PONT (EI) DE,12,Q,2015-12-31,N,876.41,881.73
DD,DD,DU PONT (EI) DE,12,Q,2015-09-30,N,904.84,891.29
DD,DD,DU PONT (EI) DE,12,Q,2015-06-30,N,904.84,911.68
DD,DD,DU PONT (EI) DE,12,Q,2015-03-31,N,905.24,913.82
DD,DD,DU PONT (EI) DE,12,Q,2014-12-31,N,905.95,913.65
DD,DD,DU PONT (EI) DE,12,Q,2014-09-30,N,915.24,910.76
DD,DD,DU PONT (EI) DE,12,Q,2014-06-30,N,918.35,925.59
DD,DD,DU PONT (EI) DE,12,Q,2014-03-31,N,916.28,930.73
DD,DD,DU PONT (EI) DE,12,Q,2013-12-31,N,927.72,934.95
DD,DD,DU PONT (EI) DE,12,Q,2013-09-30,N,923.43,933.01
DD,DD,DU PONT (EI) DE,12,Q,2013-06-30,N,920.47,929.48
DD,DD,DU PONT (EI) DE,12,Q,2013-03-31,N,919.07,935.39
DD,DD,DU PONT (EI) DE,12,Q,2012-12-31,N,932.47,941.22
DD,DD,DU PONT (EI) DE,12,Q,2012-09-30,N,930.37,940.53
DD,DD,DU PONT (EI) DE,12,Q,2012-06-30,N,937.04,942.83
DD,DD,DU PONT (EI) DE,12,Q,2012-03-31,N,935.04,944.24
DD,DD,DU PONT (EI) DE,12,Q,2011-12-31,N,923.92,935.71
DD,DD,DU PONT (EI) DE,12,Q,2011-09-30,N,932.5,943.48
DD,DD,DU PONT (EI) DE,12,Q,2011-06-30,N,928.71,943.99
DD,DD,DU PONT (EI) DE,12,Q,2011-03-31,N,926.37,940.91
DIS,DIS,DISNEY WALT,9,Q,2017-09-30,Y,1543.48,
DIS,DIS,DISNEY WALT,9,Q,2017-06-30,Y,1564.88,1562.0
DIS,DIS,DISNEY WALT,9,Q,2017-03-31,Y,1581.25,1591.0
DIS,DIS,DISNEY WALT,9,Q,2016-12-31,Y,1583.83,1603.0
DIS,DIS,DISNEY WALT,9,Q,2016-09-30,Y,1607.1,1606.0
DIS,DIS,DISNEY WALT,9,Q,2016-06-30,Y,1622.44,1631.0
DIS,DIS,DISNEY WALT,9,Q,2016-03-31,Y,1631.57,1643.0
DIS,DIS,DISNEY WALT,9,Q,2015-12-31,Y,1641.64,1668.0
DIS,DIS,DISNEY WALT,9,Q,2015-09-30,Y,1687.86,1694.0
DIS,DIS,DISNEY WALT,9,Q,2015-06-30,Y,1696.76,1711.0
DIS,DIS,DISNEY WALT,9,Q,2015-03-31,Y,1699.56,1715.0
DIS,DIS,DISNEY WALT,9,Q,2014-12-31,Y,1694.97,1717.0
DIS,DIS,DISNEY WALT,9,Q,2014-09-30,Y,1716.55,1734.0
DIS,DIS,DISNEY WALT,9,Q,2014-06-30,Y,1731.84,1748.0
DIS,DIS,DISNEY WALT,9,Q,2014-03-31,Y,1752.06,1770.0
DIS,DIS,DISNEY WALT,9,Q,2013-12-31,Y,1757.28,1784.0
DIS,DIS,DISNEY WALT,9,Q,2013-09-30,Y,1786.44,1805.0
DIS,DIS,DISNEY WALT,9,Q,2013-06-30,Y,1800.94,1821.0
DIS,DIS,DISNEY WALT,9,Q,2013-03-31,Y,1805.44,1825.0
DIS,DIS,DISNEY WALT,9,Q,2012-12-31,Y,1772.12,1800.0
DIS,DIS,DISNEY WALT,9,Q,2012-09-30,Y,1794.28,1817.0
DIS,DIS,DISNEY WALT,9,Q,2012-06-30,Y,1787.36,1812.0
DIS,DIS,DISNEY WALT,9,Q,2012-03-31,Y,1792.36,1818.0
DIS,DIS,DISNEY WALT,9,Q,2011-12-31,Y,1796.51,1824.0
DIS,DIS,DISNEY WALT,9,Q,2011-09-30,Y,1856.0,1864.0
DIS,DIS,DISNEY WALT,9,Q,2011-06-30,Y,1890.15,1912.0
DIS,DIS,DISNEY WALT,9,Q,2011-03-31,Y,1899.07,1934.0
GE,GE,GENL ELECTRIC,12,Q,2017-09-30,Y,8672.08,8732.0
GE,GE,GENL ELECTRIC,12,Q,2017-06-30,Y,8657.95,8760.0
GE,GE,GENL ELECTRIC,12,Q,2017-03-31,Y,8708.71,8714.0
GE,GE,GENL ELECTRIC,12,Q,2016-12-31,Y,8846.39,8901.0
GE,GE,GENL ELECTRIC,12,Q,2016-09-30,Y,8961.23,9016.0
GE,GE,GENL ELECTRIC,12,Q,2016-06-30,Y,9195.66,9164.0
GE,GE,GENL ELECTRIC,12,Q,2016-03-31,Y,9285.13,9372.0
GE,GE,GENL ELECTRIC,12,Q,2015-12-31,Y,9379.29,9821.0
GE,GE,GENL ELECTRIC,12,Q,2015-09-30,Y,10109.24,10173.0
GE,GE,GENL ELECTRIC,12,Q,2015-06-30,Y,10096.43,10158.0
GE,GE,GENL ELECTRIC,12,Q,2015-03-31,Y,10075.93,10067.0
GE,GE,GENL ELECTRIC,12,Q,2014-12-31,Y,10057.38,10050.0
GE,GE,GENL ELECTRIC,12,Q,2014-09-30,Y,10042.19,10039.0
GE,GE,GENL ELECTRIC,12,Q,2014-06-30,Y,10033.9,10110.0
GE,GE,GENL ELECTRIC,12,Q,2014-03-31,Y,10027.76,10045.0
GE,GE,GENL ELECTRIC,12,Q,2013-12-31,Y,10117.37,10162.0
GE,GE,GENL ELECTRIC,12,Q,2013-09-30,Y,10183.78,10151.0
GE,GE,GENL ELECTRIC,12,Q,2013-06-30,Y,10340.12,10328.0
