action_type,m_ticker,status,per_end_month_nbr,comp_name,ticker,change_txt,ex_date,proc_date
6,NIKE,1,5,NIKE INC-B,NKE,2,10/31/1995,10/31/1995
6,PFE,1,12,PFIZER INC,PFE,2,7/3/1995,7/3/1995
6,ITL,1,12,INTEL CORP,INTC,2,6/19/1995,6/19/1995
4,UA,1,12,UTD TECHS,UTX,UTD TECHS CORP,,12/2/1994
4,DD,1,12,DU PONT E I DE,DD,DU PONT (EI) DE,,9/28/1994
6,CTR,1,12,CATERPILLAR INC,CAT,2,9/6/1994,9/6/1994
6,MCD,1,12,MCDONALDS CORP,MCD,2,6/27/1994,6/27/1994
6,SD,1,12,CHEVRON INC,CHV,2,6/13/1994,6/13/1994
6,SPM,1,12,ST PAUL COS INC,SPC,2,6/7/1994,6/7/1994
4,AXP,1,12,AMER EXPRESS,AXP,AMER EXPRESS CO,,5/31/1994
6,MSFT,1,6,MICROSOFT CORP,MSFT,2,5/23/1994,5/23/1994
6,GE,1,12,GENL ELECTRIC,GE,2,5/16/1994,5/16/1994
6,MMM,1,12,MIN MINING&MFG,MMM,2,4/11/1994,4/11/1994
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,3/21/1994,3/21/1994
6,UNIH,1,12,UTD HEALTHCARE,UNH,2,3/11/1994,3/11/1994
6,ITL,1,12,INTEL CORP,INTC,2,6/7/1993,6/7/1993
6,HOMD,1,1,HOME DEPOT,HD,1.3333,4/14/1993,4/14/1993
6,CSCO,1,7,CISCO SYSTEMS,CSCO,2,3/22/1993,3/22/1993
6,WMS,1,1,WAL-MART STORES,WMT,2,2/26/1993,2/26/1993
6,UNIH,1,12,UTD HEALTHCARE,UNH,2,9/16/1992,9/16/1992
6,HOMD,1,1,HOME DEPOT,HD,1.5,7/2/1992,7/2/1992
6,MSFT,1,6,MICROSOFT CORP,MSFT,1.5,6/15/1992,6/15/1992
6,PG,1,6,PROCTER & GAMBL,PG,2,6/15/1992,6/15/1992
6,JNJ,1,12,JOHNSON & JOHNS,JNJ,2,6/10/1992,6/10/1992
