ticker,m_ticker,comp_name,fye,per_type,per_end_date,active_ticker_flag,mkt_val,ep_val
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2013-03-31,Y,228042.36,217737.36
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2012-12-31,Y,194265.47,184665.47
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2012-09-30,Y,189987.7,181644.7
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2012-06-30,Y,185544.89,180154.89
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2012-03-31,Y,181081.97,160244.97
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2011-12-31,Y,179089.09,159797.09
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2011-09-30,Y,174533.16,156637.16
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2011-06-30,Y,182340.83,166338.83
JNJ,JNJ,JOHNSON & JOHNS,12,Q,2011-03-31,Y,162361.95,144749.95
JPM,CHL,JPMORGAN CHASE,12,Q,2017-09-30,Y,336096.25,-383210.75
JPM,CHL,JPMORGAN CHASE,12,Q,2017-06-30,Y,324726.31,-400091.69
JPM,CHL,JPMORGAN CHASE,12,Q,2017-03-31,Y,312522.25,-401049.75
JPM,CHL,JPMORGAN CHASE,12,Q,2016-12-31,Y,308768.41,-338945.59
JPM,CHL,JPMORGAN CHASE,12,Q,2016-09-30,Y,240521.88,-424577.13
JPM,CHL,JPMORGAN CHASE,12,Q,2016-06-30,Y,227224.8,-414500.19
JPM,CHL,JPMORGAN CHASE,12,Q,2016-03-31,Y,216852.81,-414403.19
JPM,CHL,JPMORGAN CHASE,12,Q,2015-12-31,Y,243065.02,-338030.0
JPM,CHL,JPMORGAN CHASE,12,Q,2015-09-30,Y,225471.16,-405970.84
JPM,CHL,JPMORGAN CHASE,12,Q,2015-06-30,Y,251463.28,-420486.72
JPM,CHL,JPMORGAN CHASE,12,Q,2015-03-31,Y,224953.13,-591439.88
JPM,CHL,JPMORGAN CHASE,12,Q,2014-12-31,Y,233935.89,-566499.13
JPM,CHL,JPMORGAN CHASE,12,Q,2014-09-30,Y,226579.59,-517421.41
JPM,CHL,JPMORGAN CHASE,12,Q,2014-06-30,Y,218075.17,-520943.81
JPM,CHL,JPMORGAN CHASE,12,Q,2014-03-31,Y,229898.16,-487779.84
JPM,CHL,JPMORGAN CHASE,12,Q,2013-12-31,Y,219837.39,-451723.63
JPM,CHL,JPMORGAN CHASE,12,Q,2013-09-30,Y,194571.41,-521835.59
JPM,CHL,JPMORGAN CHASE,12,Q,2013-06-30,Y,199529.11,-486924.88
JPM,CHL,JPMORGAN CHASE,12,Q,2013-03-31,Y,181651.59,-465322.41
JPM,CHL,JPMORGAN CHASE,12,Q,2012-12-31,Y,167144.23,-469998.75
JPM,CHL,JPMORGAN CHASE,12,Q,2012-09-30,Y,153773.56,-460504.44
JPM,CHL,JPMORGAN CHASE,12,Q,2012-06-30,Y,136012.19,-442720.81
JPM,CHL,JPMORGAN CHASE,12,Q,2012-03-31,Y,175522.22,-400443.78
JPM,CHL,JPMORGAN CHASE,12,Q,2011-12-31,Y,126342.23,-411332.78
JPM,CHL,JPMORGAN CHASE,12,Q,2011-09-30,Y,117439.4,-466970.59
JPM,CHL,JPMORGAN CHASE,12,Q,2011-06-30,Y,162682.67,-392511.31
JPM,CHL,JPMORGAN CHASE,12,Q,2011-03-31,Y,183639.81,-325055.19
KO,KO,COCA COLA CO,12,Q,2017-09-30,Y,191772.61,196886.61
KO,KO,COCA COLA CO,12,Q,2017-06-30,Y,191298.89,195879.89
KO,KO,COCA COLA CO,12,Q,2017-03-31,Y,181327.41,187660.41
KO,KO,COCA COLA CO,12,Q,2016-12-31,Y,178815.28,186298.28
KO,KO,COCA COLA CO,12,Q,2016-09-30,Y,182524.42,188618.42
KO,KO,COCA COLA CO,12,Q,2016-06-30,Y,196106.63,201283.63
KO,KO,COCA COLA CO,12,Q,2016-03-31,Y,200692.38,205471.38
KO,KO,COCA COLA CO,12,Q,2015-12-31,Y,186832.41,195243.41
KO,KO,COCA COLA CO,12,Q,2015-09-30,Y,174522.17,177697.17
KO,KO,COCA COLA CO,12,Q,2015-06-30,Y,170650.67,175680.67
KO,KO,COCA COLA CO,12,Q,2015-03-31,Y,177142.39,183180.39
KO,KO,COCA COLA CO,12,Q,2014-12-31,Y,184928.39,182316.39
KO,KO,COCA COLA CO,12,Q,2014-09-30,Y,187103.53,183500.53
KO,KO,COCA COLA CO,12,Q,2014-06-30,Y,186179.95,183213.95
KO,KO,COCA COLA CO,12,Q,2014-03-31,Y,170331.83,169538.83
KO,KO,COCA COLA CO,12,Q,2013-12-31,Y,182421.8,181307.8
KO,KO,COCA COLA CO,12,Q,2013-09-30,Y,167927.89,161641.89
KO,KO,COCA COLA CO,12,Q,2013-06-30,Y,178640.13,173606.13
KO,KO,COCA COLA CO,12,Q,2013-03-31,Y,180229.69,176092.69
KO,KO,COCA COLA CO,12,Q,2012-12-31,Y,162587.13,160772.13
KO,KO,COCA COLA CO,12,Q,2012-09-30,Y,170757.98,168855.98
KO,KO,COCA COLA CO,12,Q,2012-06-30,Y,176392.75,175816.75
KO,KO,COCA COLA CO,12,Q,2012-03-31,Y,167601.14,168173.14
KO,KO,COCA COLA CO,12,Q,2011-12-31,Y,158918.13,158539.13
KO,KO,COCA COLA CO,12,Q,2011-09-30,Y,155124.25,152335.25
KO,KO,COCA COLA CO,12,Q,2011-06-30,Y,154043.91,151399.91
KO,KO,COCA COLA CO,12,Q,2011-03-31,Y,152258.8,152662.8
MCD,MCD,MCDONALDS CORP,12,Q,2017-09-30,Y,126910.26,
MCD,MCD,MCDONALDS CORP,12,Q,2017-06-30,Y,124836.13,150594.64
MCD,MCD,MCDONALDS CORP,12,Q,2017-03-31,Y,105859.38,130431.38
MCD,MCD,MCDONALDS CORP,12,Q,2016-12-31,Y,101081.65,125736.75
MCD,MCD,MCDONALDS CORP,12,Q,2016-09-30,Y,98443.85,122184.15
MCD,MCD,MCDONALDS CORP,12,Q,2016-06-30,Y,105641.43,128523.43
MCD,MCD,MCDONALDS CORP,12,Q,2016-03-31,Y,110306.2,130348.7
MCD,MCD,MCDONALDS CORP,12,Q,2015-12-31,Y,108479.7,124916.3
MCD,MCD,MCDONALDS CORP,12,Q,2015-09-30,Y,92796.55,108334.55
MCD,MCD,MCDONALDS CORP,12,Q,2015-06-30,Y,91126.03,105029.13
MCD,MCD,MCDONALDS CORP,12,Q,2015-03-31,Y,93457.34,106114.34
MCD,MCD,MCDONALDS CORP,12,Q,2014-12-31,Y,91189.22,104047.02
MCD,MCD,MCDONALDS CORP,12,Q,2014-09-30,Y,93096.7,104380.3
MCD,MCD,MCDONALDS CORP,12,Q,2014-06-30,Y,99573.13,110793.93
MCD,MCD,MCDONALDS CORP,12,Q,2014-03-31,Y,97038.04,108119.64
MCD,MCD,MCDONALDS CORP,12,Q,2013-12-31,Y,96547.77,107878.87
MCD,MCD,MCDONALDS CORP,12,Q,2013-09-30,Y,96175.95,107119.45
MCD,MCD,MCDONALDS CORP,12,Q,2013-06-30,Y,99252.36,110343.76
MCD,MCD,MCDONALDS CORP,12,Q,2013-03-31,Y,99968.34,110896.95
MCD,MCD,MCDONALDS CORP,12,Q,2012-12-31,Y,88560.81,99857.21
MCD,MCD,MCDONALDS CORP,12,Q,2012-09-30,Y,92523.55,103097.05
MCD,MCD,MCDONALDS CORP,12,Q,2012-06-30,Y,89968.17,100203.97
MCD,MCD,MCDONALDS CORP,12,Q,2012-03-31,Y,99920.34,109686.95
MCD,MCD,MCDONALDS CORP,12,Q,2011-12-31,Y,102659.47,112457.57
MCD,MCD,MCDONALDS CORP,12,Q,2011-09-30,Y,90608.47,99207.77
MCD,MCD,MCDONALDS CORP,12,Q,2011-06-30,Y,87488.49,96481.29
MCD,MCD,MCDONALDS CORP,12,Q,2011-03-31,Y,79384.63,87969.02
MMM,MMM,3M CO,12,Q,2017-09-30,Y,125261.44,
MMM,MMM,3M CO,12,Q,2017-06-30,Y,124240.97,132534.97
MMM,MMM,3M CO,12,Q,2017-03-31,Y,114269.86,122757.86
MMM,MMM,3M CO,12,Q,2016-12-31,Y,106557.37,114557.37
MMM,MMM,3M CO,12,Q,2016-09-30,Y,105996.35,114409.35
MMM,MMM,3M CO,12,Q,2016-06-30,Y,106212.91,113646.91
MMM,MMM,3M CO,12,Q,2016-03-31,Y,101063.6,108477.6
MMM,MMM,3M CO,12,Q,2015-12-31,Y,92751.01,99588.01
MMM,MMM,3M CO,12,Q,2015-09-30,Y,87289.63,94505.63
MMM,MMM,3M CO,12,Q,2015-06-30,Y,96398.16,101344.16
MMM,MMM,3M CO,12,Q,2015-03-31,Y,104634.55,108284.55
MMM,MMM,3M CO,12,Q,2014-12-31,Y,104514.1,108696.1
MMM,MMM,3M CO,12,Q,2014-09-30,Y,90791.23,93320.23
MMM,MMM,3M CO,12,Q,2014-06-30,Y,93718.79,96032.79
MMM,MMM,3M CO,12,Q,2014-03-31,Y,89900.8,91487.8
MMM,MMM,3M CO,12,Q,2013-12-31,Y,93300.19,94289.19
MMM,MMM,3M CO,12,Q,2013-09-30,Y,81612.92,81834.92
MMM,MMM,3M CO,12,Q,2013-06-30,Y,75472.82,76104.82
MMM,MMM,3M CO,12,Q,2013-03-31,Y,73352.84,73840.84
MMM,MMM,3M CO,12,Q,2012-12-31,Y,64245.8,64630.8
MMM,MMM,3M CO,12,Q,2012-09-30,Y,63891.7,63725.7
MMM,MMM,3M CO,12,Q,2012-06-30,Y,62170.93,62924.93
MMM,MMM,3M CO,12,Q,2012-03-31,Y,61977.49,62756.49
MMM,MMM,3M CO,12,Q,2011-12-31,Y,57280.07,58084.07
MMM,MMM,3M CO,12,Q,2011-09-30,Y,50937.59,51030.59
MMM,MMM,3M CO,12,Q,2011-06-30,Y,67398.23,67358.23
MMM,MMM,3M CO,12,Q,2011-03-31,Y,66553.77,67007.77
MRK,MRK,MERCK & CO INC,12,Q,2017-09-30,Y,175132.53,
MRK,MRK,MERCK & CO INC,12,Q,2017-06-30,Y,175296.64,185035.64
MRK,MRK,MERCK & CO INC,12,Q,2017-03-31,Y,174196.83,182384.83
MRK,MRK,MERCK & CO INC,12,Q,2016-12-31,Y,162312.72,172245.72
MRK,MRK,MERCK & CO INC,12,Q,2016-09-30,Y,172576.64,183165.64
MRK,MRK,MERCK & CO INC,12,Q,2016-06-30,Y,159465.94,171273.94
MRK,MRK,MERCK & CO INC,12,Q,2016-03-31,Y,146545.42,157258.42
MRK,MRK,MERCK & CO INC,12,Q,2015-12-31,Y,147554.95,157956.95
MRK,MRK,MERCK & CO INC,12,Q,2015-09-30,Y,139113.61,151148.61
MRK,MRK,MERCK & CO INC,12,Q,2015-06-30,Y,160839.91,173538.91
MRK,MRK,MERCK & CO INC,12,Q,2015-03-31,Y,162579.48,172484.48
MRK,MRK,MERCK & CO INC,12,Q,2014-12-31,Y,161901.08,164881.08
MRK,MRK,MERCK & CO INC,12,Q,2014-09-30,Y,171000.98,175219.98
MRK,MRK,MERCK & CO INC,12,Q,2014-06-30,Y,169059.45,174254.45
MRK,MRK,MERCK & CO INC,12,Q,2014-03-31,Y,166939.11,166015.11
MRK,MRK,MERCK & CO INC,12,Q,2013-12-31,Y,146242.55,149295.55
MRK,MRK,MERCK & CO INC,12,Q,2013-09-30,Y,139321.84,143799.84
MRK,MRK,MERCK & CO INC,12,Q,2013-06-30,Y,140260.98,144688.98
MRK,MRK,MERCK & CO INC,12,Q,2013-03-31,Y,133588.67,133655.67
MRK,MRK,MERCK & CO INC,12,Q,2012-12-31,Y,124460.55,124573.55
MRK,MRK,MERCK & CO INC,12,Q,2012-09-30,Y,137342.78,136796.78
MRK,MRK,MERCK & CO INC,12,Q,2012-06-30,Y,126985.34,124592.34
MRK,MRK,MERCK & CO INC,12,Q,2012-03-31,Y,116889.91,116551.91
MRK,MRK,MERCK & CO INC,12,Q,2011-12-31,Y,114906.63,115459.63
MRK,MRK,MERCK & CO INC,12,Q,2011-09-30,Y,100742.07,100858.07
MRK,MRK,MERCK & CO INC,12,Q,2011-06-30,Y,108925.59,110727.59
MRK,MRK,MERCK & CO INC,12,Q,2011-03-31,Y,101772.5,104387.5
MSFT,MSFT,MICROSOFT CORP,6,Q,2017-09-30,Y,574659.81,518211.81
MSFT,MSFT,MICROSOFT CORP,6,Q,2017-06-30,Y,531312.44,474404.44
MSFT,MSFT,MICROSOFT CORP,6,Q,2017-03-31,Y,508935.16,459139.16
MSFT,MSFT,MICROSOFT CORP,6,Q,2016-12-31,Y,483160.34,419685.34
MSFT,MSFT,MICROSOFT CORP,6,Q,2016-09-30,Y,447860.25,371082.25
MSFT,MSFT,MICROSOFT CORP,6,Q,2016-06-30,Y,399535.38,326852.38
MSFT,MSFT,MICROSOFT CORP,6,Q,2016-03-31,Y,434133.59,369477.59
MSFT,MSFT,MICROSOFT CORP,6,Q,2015-12-31,Y,443169.44,381208.44
MSFT,MSFT,MICROSOFT CORP,6,Q,2015-09-30,Y,353545.03,282009.03
MSFT,MSFT,MICROSOFT CORP,6,Q,2015-06-30,Y,354392.09,285674.09
MSFT,MSFT,MICROSOFT CORP,6,Q,2015-03-31,Y,329834.03,262040.03
MSFT,MSFT,MICROSOFT CORP,6,Q,2014-12-31,Y,381065.81,309076.81
MSFT,MSFT,MICROSOFT CORP,6,Q,2014-09-30,Y,382138.69,311417.69
MSFT,MSFT,MICROSOFT CORP,6,Q,2014-06-30,Y,344459.19,279395.19
MSFT,MSFT,MICROSOFT CORP,6,Q,2014-03-31,Y,340246.72,272500.72
MSFT,MSFT,MICROSOFT CORP,6,Q,2013-12-31,Y,312297.5,249029.5
MSFT,MSFT,MICROSOFT CORP,6,Q,2013-09-30,Y,277220.94,209180.94
MSFT,MSFT,MICROSOFT CORP,6,Q,2013-06-30,Y,288489.0,224068.0
MSFT,MSFT,MICROSOFT CORP,6,Q,2013-03-31,Y,239602.48,177068.48
MSFT,MSFT,MICROSOFT CORP,6,Q,2012-12-31,Y,224801.17,168436.17
MSFT,MSFT,MICROSOFT CORP,6,Q,2012-09-30,Y,249489.91,192559.91
MSFT,MSFT,MICROSOFT CORP,6,Q,2012-06-30,Y,256982.5,204655.5
MSFT,MSFT,MICROSOFT CORP,6,Q,2012-03-31,Y,270644.34,223053.34
MSFT,MSFT,MICROSOFT CORP,6,Q,2011-12-31,Y,218380.25,178576.25
MSFT,MSFT,MICROSOFT CORP,6,Q,2011-09-30,Y,208535.05,163059.05
MSFT,MSFT,MICROSOFT CORP,6,Q,2011-06-30,Y,219251.95,178400.95
MSFT,MSFT,MICROSOFT CORP,6,Q,2011-03-31,Y,213336.5,175101.5
NKE,NIKE,NIKE INC-B,5,Q,2017-09-30,Y,85199.6,83152.6
NKE,NIKE,NIKE INC-B,5,Q,2017-06-30,Y,96948.45,94240.45
NKE,NIKE,NIKE INC-B,5,Q,2017-03-31,Y,91997.13,89309.13
NKE,NIKE,NIKE INC-B,5,Q,2016-12-31,Y,84097.07,81627.07
NKE,NIKE,NIKE INC-B,5,Q,2016-09-30,Y,87685.1,84891.1
NKE,NIKE,NIKE INC-B,5,Q,2016-06-30,Y,92604.57,89140.57
NKE,NIKE,NIKE INC-B,5,Q,2016-03-31,Y,103559.87,100501.87
NKE,NIKE,NIKE INC-B,5,Q,2015-12-31,Y,106446.75,102397.75
NKE,NIKE,NIKE INC-B,5,Q,2015-09-30,Y,104794.3,100465.3
NKE,NIKE,NIKE INC-B,5,Q,2015-06-30,Y,92395.12,87550.12
NKE,NIKE,NIKE INC-B,5,Q,2015-03-31,Y,86258.52,81979.52
NKE,NIKE,NIKE INC-B,5,Q,2014-12-31,Y,83067.55,79438.55
NKE,NIKE,NIKE INC-B,5,Q,2014-09-30,Y,76846.42,73462.42
NKE,NIKE,NIKE INC-B,5,Q,2014-06-30,Y,68099.53,64156.53
NKE,NIKE,NIKE INC-B,5,Q,2014-03-31,Y,64859.2,61031.2
NKE,NIKE,NIKE INC-B,5,Q,2013-12-31,Y,69954.6,65968.6
NKE,NIKE,NIKE INC-B,5,Q,2013-09-30,Y,64675.24,60304.24
NKE,NIKE,NIKE INC-B,5,Q,2013-06-30,Y,56905.4,52150.4
NKE,NIKE,NIKE INC-B,5,Q,2013-03-31,Y,52855.91,48974.91
NKE,NIKE,NIKE INC-B,5,Q,2012-12-31,Y,46496.96,43141.96
NKE,NIKE,NIKE INC-B,5,Q,2012-09-30,Y,43266.62,40225.62
NKE,NIKE,NIKE INC-B,5,Q,2012-06-30,Y,40235.54,36706.54
NKE,NIKE,NIKE INC-B,5,Q,2012-03-31,Y,49705.43,46737.43
NKE,NIKE,NIKE INC-B,5,Q,2011-12-31,Y,44225.45,41094.45
NKE,NIKE,NIKE INC-B,5,Q,2011-09-30,Y,39648.25,36186.25
NKE,NIKE,NIKE INC-B,5,Q,2011-06-30,Y,42662.13,38400.13
NKE,NIKE,NIKE INC-B,5,Q,2011-03-31,Y,35891.56,31702.56
PFE,PFE,PFIZER INC,12,Q,2017-09-30,Y,212320.38,
PFE,PFE,PFIZER INC,12,Q,2017-06-30,Y,200459.88,220340.88
PFE,PFE,PFIZER INC,12,Q,2017-03-31,Y,203724.88,
PFE,PFE,PFIZER INC,12,Q,2016-12-31,Y,197100.19,210672.19
PFE,PFE,PFIZER INC,12,Q,2016-09-30,Y,205443.64,221534.64
PFE,PFE,PFIZER INC,12,Q,2016-06-30,Y,213543.33,223083.33
PFE,PFE,PFIZER INC,12,Q,2016-03-31,Y,183527.3,191934.3
PFE,PFE,PFIZER INC,12,Q,2015-12-31,Y,199280.69,204756.69
PFE,PFE,PFIZER INC,12,Q,2015-09-30,Y,193716.41,202164.41
PFE,PFE,PFIZER INC,12,Q,2015-06-30,Y,206466.69,202967.69
PFE,PFE,PFIZER INC,12,Q,2015-03-31,Y,213622.23,215312.23
PFE,PFE,PFIZER INC,12,Q,2014-12-31,Y,196265.47,191713.47
PFE,PFE,PFIZER INC,12,Q,2014-09-30,Y,187499.33,185749.33
